Indicator,T1.5.2,T1.5.3,T1.a.2,T1.4.1a,T1.4.1b,T2.1.1,T2.2.1,T2.2.2,T2.5.1,T2.a.1a,T2.a.1,T3.1.1,T3.1.2,T3.2.1,T3.2.2,T3.3.1,T3.3.2,T3.3.3,T3.3.5,T3.4.1,T3.4.2,T3.5.2,T3.6.1,T3.7.1,T3.7.2,T3.8.1,T3.9.3,T3.b.1,T3.b.2,T3.c.1,T3.d.1,T4.2.2,T4.5.1,T4.b.1,T4.c.1,T5.5.1,T6.1.1,T6.2.1a,T6.2.1b,T6.6.1,T6.a.1,T7.1.1,T7.1.2,T7.2.1,T7.3.1,T7.a.1,T8.1.1,T8.2.1,T8.4.2a,T8.a.1,T9.2.1,T9.4.1,T9.a.1,T9.b.1,T9.c.1,T10.6.1,T10.a.1,T10.b.1,T11.1.1,T11.5.2,T11.b.1,T12.2.2a,T13.1.1,T15.1.1,T15.1.2,T15.4.1,T15.5.1,T15.a.1,T 16.1.1,T16.2.2,T16.8.1,T17.1.1,T17.1.2,T17.3.2,T17.4.1,T17.6.2,T17.8.1,T17.9.1,T17.10.1,T17.12.1,T17.19.1
T4.b.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.86,1,1,0,0,0,0,0,1,0,0,-1,0,0,0,1,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0
T4.c.1,0,0,-0.7,0.99,0.99,-0.95,-1,0,1,0.78,0.67,-0.99,1,-0.99,-0.99,-0.99,-0.82,-0.97,-0.95,-1,-1,0,0,0,0,0,-1,0.82,0.79,0.9,0,0,0.93,0,1,0,0.99,-0.99,-0.95,0,0.52,0.99,0.97,-0.78,-0.89,0,0,0,0.94,0.9,-0.98,0.81,0.81,-0.82,0.94,-0.89,0.9,0.95,-1,0,0,0.94,-0.75,-0.99,0.91,0.94,0,-0.9,-0.9,0.81,-0.89,1,0,0.94,0,0.81,0.99,0.67,0,0,0
T5.5.1,-0.74,0,0,0.54,0.54,-0.7,0,0,0,0,0,-0.69,0,0,0,-0.54,0,0,0.77,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0.89,0,1,0.54,-0.54,0,0,0,0.54,0,0,-0.74,0,0,0,0.54,0,0,0,0,-0.58,0,0,0,0.55,0,-0.58,0,0.54,0,0,0.72,0,0,0,0,0,0,0.54,0,0,0,0,0.54,0,0,0,0
T6.1.1,0,0,-0.64,1,1,-0.98,-1,0,0.99,0.79,0.62,-1,0.94,-1,-1,-0.98,-0.68,-0.99,-0.9,-1,-1,0,0,0,0,0.9,-1,0.84,0.84,1,0,0,0.91,0,0.99,0.54,1,-1,-0.89,-0.76,0.48,1,0.99,-0.67,-0.93,0,0,0,0.93,0.96,-0.99,0.61,0.76,-0.81,0.98,-0.89,0.9,0.96,-1,0,0,0.93,-0.63,-1,0.93,0.93,0,-1,-1,0.75,-0.89,0.99,0,0.96,0,0.91,1,0.73,0,0,0
T6.2.1a,0,0,0.64,-1,-1,0.98,1,0,-0.99,-0.79,-0.62,1,-0.94,1,1,0.98,0.68,0.99,0.9,1,1,0,0,0,0,-0.9,1,-0.84,-0.84,-1,0,0,-0.91,0,-0.99,-0.54,-1,1,0.89,0.76,-0.48,-1,-0.99,0.67,0.93,0,0,0,-0.93,-0.96,0.99,-0.61,-0.76,0.81,-0.98,0.89,-0.9,-0.96,1,0,0,-0.93,0.63,1,-0.93,-0.93,0,1,1,-0.75,0.89,-0.99,0,-0.96,0,-0.91,-1,-0.73,0,0,0
T6.2.1b,0,0,0.7,-0.89,-0.89,0.77,1,0,-1,-0.86,-0.74,0.82,-1,0.89,0.89,0.89,0.98,0.98,0.9,1,1,0,0,0,0,0,1,0,-0.7,-1,0,0,-0.81,0,-0.95,0,-0.89,0.89,1,0.67,-0.92,-0.89,-0.97,0.87,0.67,0,0,0,-0.92,-0.89,0.87,-0.91,-0.81,0,-0.95,0.89,-0.9,-0.87,1,0,0,-0.92,0.77,0.89,-0.85,-0.86,0,1,1,-0.68,0.89,-0.9,0,-0.75,0,-0.84,-0.89,-0.77,0,0,0
T6.6.1,0,0,0.81,-0.76,-0.76,0.98,0,-1,0,-0.62,-0.63,0.87,0,0.76,0.76,0.77,0.74,0,0,0,0,0,0,0,0,-1,0,-0.78,-0.72,0,0,0,0,0,0,0,-0.76,0.76,0.67,1,-0.72,-0.76,0,0.78,0.87,0,0,0,-0.74,-0.85,0.75,-0.64,-0.78,0,0,0,-1,-0.75,1,0,0,-0.74,0,0.76,-0.84,-0.79,-0.64,0,0,0,0,-0.76,0,-0.71,0,-0.93,-0.76,-0.88,0,0,0
T6.a.1,0,0,-0.72,0.48,0.48,0,0,0,0,0.76,0.76,0,0,-0.48,-0.48,-0.48,-0.77,-0.92,-0.95,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0.53,0,0.52,0,0.48,-0.48,-0.92,-0.72,1,0.48,0.84,-0.85,0,0,0,0,0.62,0.92,-0.47,0.85,0.79,0,0.95,-0.89,1,0.62,-0.9,0,0,0.62,-0.75,-0.49,0,0.58,0,-0.9,-0.9,0.8,-0.89,0.54,0,0,0,0.88,0.48,0.79,0,0,0
T7.1.1,0,0,-0.65,1,1,-0.98,-1,0,0.99,0.79,0.61,-1,1,-1,-1,-0.98,-0.68,-0.99,-0.9,-1,-1,0,0,0,0,0.9,-1,0.84,0.84,1,0,0,0.91,0,0.99,0.54,1,-1,-0.89,-0.76,0.48,1,0.99,-0.68,-0.92,0,0,0,0.94,0.96,-0.99,0.62,0.75,-0.8,0.98,-0.89,0.9,0.96,-1,0,0,0.94,-0.63,-1,0.93,0.58,0,-1,-1,0.75,-0.89,0.98,0,0.98,0,0.91,1,0.7,0,0,0
T7.1.2,0,0,0,0.99,0.99,-1,0,0,1,0.97,0.93,-1,1,-0.99,-0.99,-1,-0.92,-0.99,0,-1,-1,0,1,0,0,0.9,-1,0.81,0,0,0,0,0.97,0,0.97,0,0.99,-0.99,-0.97,0,0.84,0.99,1,-0.9,0,0,0,0,0.99,0,-0.99,0.9,0,-0.97,0,-0.92,0,0.9,-1,0,0,0.99,0,-0.97,0.86,0.93,0,-1,-1,1,-0.92,0.99,0.9,0.81,0,0,0.99,0.99,0,0,1
T7.2.1,0,0,0.86,-0.67,-0.67,0.68,0.9,0,-0.97,-0.84,-0.87,0.61,0,0.67,0.67,0.69,0.89,0.9,0.82,0.9,0.9,0,0,0,0,0,0.9,-0.51,-0.68,0,0,-0.83,-0.73,0,-0.78,0,-0.67,0.67,0.87,0.78,-0.85,-0.68,-0.9,1,0.64,0,0,0,-0.77,-0.87,0.66,-0.9,-0.84,0,-0.89,0,0,-0.72,0,0,0,-0.77,0,0.74,-0.65,-0.76,-0.54,0.9,0.9,-0.78,0,-0.71,0,-0.64,0,-0.82,-0.67,-0.77,0,0,0
T7.3.1,0,0,0.6,-0.93,-0.93,0.96,0,-0.9,-0.97,-0.62,-0.54,0.98,0,0.93,0.93,0.92,0.54,0,0,0,0,-1,0,0,0,-1,0,-0.88,-0.86,0,0,0,-0.85,0,-0.89,-0.74,-0.93,0.93,0.67,0.87,0,-0.92,0,0.64,1,0,0,0,-0.85,-0.86,0.93,-0.59,-0.72,0.79,0,0,0,-0.91,1,0,0,-0.85,0,0.91,-0.94,-0.87,0,0,0,0,0,-0.92,0,-0.92,0,-0.89,-0.93,-0.67,0,0,0
T7.a.1,0,0,0,0,0,0,0,0.9,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T8.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.65
T8.2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7
T8.4.2a,0,0,-0.74,0.93,0.93,-0.85,-1,0,0.99,0.82,0.65,-0.9,0.94,-0.93,-0.93,-0.89,-0.79,-0.98,-0.95,-1,-1,0,0,0,0,0.9,-1,0.75,0.74,0.9,0,0,0.82,0,0.94,0.54,0.93,-0.93,-0.92,-0.74,0.62,0.94,0.99,-0.77,-0.85,0,0,0,1,0.94,-0.92,0.68,0.82,-0.68,0.98,-0.89,0.9,0.91,-1,0,0,1,-0.67,-0.92,0.89,0.84,0,-0.9,-0.9,0.78,-0.89,0.95,0,0.89,0,0.88,0.93,0.76,0,0,0
T8.a.1,0,0,-0.64,0.96,0.96,-0.94,0,0,1,0.79,0.73,-1,0,-0.96,-0.96,-0.94,-0.94,-0.76,-0.71,0,0,0,0,0,0,0,0,0.63,0.78,1,0,0,0.7,0,0.9,0,0.96,-0.96,-0.89,-0.85,0.92,0.96,0,-0.87,-0.86,0,0,0,0.94,1,-0.92,0.84,0.94,0,0.83,0,1,0.97,-1,0,0,0.94,0,-0.96,0.82,0.91,0,-0.9,-0.9,0.67,0,0.96,0,0.87,-0.58,0.97,0.96,0.8,0,0,0
T9.2.1,0,0,0.68,-0.99,-0.99,0.98,1,0,-0.98,-0.77,-0.6,0.99,-0.94,0.99,0.99,0.98,0.67,0.98,0.88,1,1,0,0,0,0,-0.9,1,-0.81,-0.85,-0.9,0,0,-0.92,0,-0.98,0,-0.99,0.99,0.87,0.75,-0.47,-0.99,-0.99,0.66,0.93,0,0,0,-0.92,-0.92,1,-0.59,-0.76,0.8,-0.98,0.89,0,-0.96,1,0,0,-0.92,0.67,0.99,-0.93,-0.93,0,0.9,0.9,-0.78,0.89,-0.98,-0.71,-0.96,0,-0.88,-0.99,-0.72,0,0,0
T9.4.1,0,0,-0.82,0.61,0.61,-0.59,-0.9,0,0,0.8,0.83,-0.54,0,-0.61,-0.61,-0.64,-0.82,-0.8,-0.82,-0.9,-0.9,0,0,0,0,0,-0.9,0,0.67,0,0.87,0,0.74,0,0.81,0,0.61,-0.61,-0.91,-0.64,0.85,0.62,0.9,-0.9,-0.59,0,0,0,0.68,0.84,-0.59,1,0.77,0,0.89,0,0,0.68,0,0,0,0.68,0,-0.7,0.6,0.72,0,0,0,0,0,0.67,0,0.57,0,0.73,0.61,0.68,0,0,0
T9.a.1,0,0,-0.81,0.76,0.76,-0.69,0,0.9,0.99,0.76,0.8,-0.7,0,-0.76,-0.76,-0.75,-0.83,-0.72,0,0,0,0.9,0,0,0,0,0,0.63,0.77,0.9,0,0,0.73,0,0.81,0,0.76,-0.76,-0.81,-0.78,0.79,0.75,0,-0.84,-0.72,0,0,0,0.82,0.94,-0.76,0.77,1,0,0.76,0,0.9,0.85,-0.9,0,0,0.82,0,-0.77,0.77,0.78,0.57,0,0,0,0,0.82,0,0.7,0,0.93,0.76,0.85,0,0,0
T9.b.1,0,0,0,-0.81,-0.81,0.79,0.89,0,0,0,0,0.83,-0.94,0.81,0.81,0.8,0,0.84,0,0.97,0.97,0,0,0,0,-1,0.97,-0.78,-0.62,0,0,0,-0.82,0,-0.82,-0.58,-0.81,0.81,0,0,0,-0.8,-0.97,0,0.79,0,0,0,-0.68,0,0.8,0,0,1,0,1,0,-0.74,1,0,0,-0.68,0,0.77,-0.72,-0.73,0,0,0,0,1,-0.78,-0.91,-0.85,0,0,-0.81,-0.49,0,0,0
T9.c.1,0,0,0,0.98,0.98,-0.83,-1,0,1,0.88,0.9,-0.94,1,-0.98,-0.98,-0.99,-0.97,-0.89,-0.94,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0.89,0,0.94,0,0.98,-0.98,-0.95,0,0.95,0.98,0,-0.89,0,0,0,0,0.98,0.83,-0.98,0.89,0.76,0,1,0,0,0.98,-1,0,0,0.98,0,-0.98,0.76,0.81,0,-1,-1,0,0,0.98,0,0,0,0.83,0.98,0.88,0,0,0
T10.6.1,0,0,0.89,-0.89,-0.89,1,0,0,0,-0.89,-0.89,1,0,0.89,0.89,0.92,0,0.89,0,0,0,0,-1,0,1,0,0,-0.89,0,0,0,0,-0.89,0,-0.89,0,-0.89,0.89,0.89,0,-0.89,-0.89,-0.92,0,0,0,0,0,-0.89,0,0.89,0,0,1,0,1,-0.89,-0.89,1,0,0,-0.89,0,0.89,0,-0.89,0,1,1,-1,1,-0.89,-0.89,-0.89,0,0,-0.89,-0.89,0,0,0
T10.a.1,0,0,0,0.9,0.9,-1,0,0,1,0.9,0.9,-1,0,-0.9,-0.9,0,0,0,0,0,0,0,1,0,-1,0,0,0.9,0,0,0,0,0,0,0.9,0,0.9,-0.9,-0.9,-1,1,0.9,0,0,0,0,0,0,0.9,1,0,0,0.9,0,0,-0.89,1,1,-1,0,0,0.9,0,-0.9,0,0,0,-1,-1,1,-0.89,0.9,0,0,0,1,0.9,0.9,0,0,0
T10.b.1,0,0,-0.68,0.96,0.96,-0.93,-1,0,0.99,0.72,0.67,-0.94,0.94,-0.96,-0.96,-0.94,-0.68,-0.94,-0.88,-0.9,-0.9,0.9,0,0,0,0.9,-0.9,0.81,0.88,0.9,0,0,0.9,0,0.95,0.55,0.96,-0.96,-0.87,-0.75,0.62,0.96,0.9,-0.72,-0.91,0,0,0,0.91,0.97,-0.96,0.68,0.85,-0.74,0.98,-0.89,1,1,-1,0,0,0.91,0,-0.96,0.89,0.95,0.5,-0.9,-0.9,0.78,-0.89,0.96,0,0.93,0,0.94,0.96,0.79,0,0,0
T11.1.1,-1,0,0,-1,-1,1,0,0,-1,-1,0,1,-1,1,1,1,0.89,1,1,1,1,-1,-1,1,-1,-1,1,-0.9,0,-1,0,-1,-1,1,-1,0,-1,1,1,1,-0.9,-1,-1,0,1,0,0,0,-1,-1,1,0,-0.9,1,-1,1,-1,-1,1,0,0,-1,1,1,-0.89,0,0,0,0,-1,1,-1,-0.9,-0.94,0,-1,-1,-1,0,0,1
T11.5.2,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.58,0,0,0,0,0,0,0,0,0,-0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T11.b.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T12.2.2a,0,0,-0.74,0.93,0.93,-0.85,-1,0,0.99,0.82,0.65,-0.9,0.94,-0.93,-0.93,-0.89,-0.79,-0.98,-0.95,-1,-1,0,0,0,0,0.9,-1,0.75,0.74,0.9,0,0,0.82,0,0.94,0.54,0.93,-0.93,-0.92,-0.74,0.62,0.94,0.99,-0.77,-0.85,0,0,0,1,0.94,-0.92,0.68,0.82,-0.68,0.98,-0.89,0.9,0.91,-1,0,0,1,-0.67,-0.92,0.89,0.84,0,-0.9,-0.9,0.78,-0.89,0.95,0,0.89,0,0.88,0.93,0.76,0,0,0
T13.1.1,0,0,0.72,-0.63,-0.63,0,0,0,0,0,-0.62,0,0,0.71,0.71,0.65,0.72,0,0,1,1,1,0.75,1,0,-1,1,0,0,0,0,0,-0.82,0,-0.75,0,-0.63,0.63,0.77,0,-0.75,-0.63,0,0,0,0,0,0,-0.67,0,0.67,0,0,0,0,0,0,0,1,0,0,-0.67,1,0.71,-0.61,-0.7,0,0,0,0,0,-0.63,0,0,0,0,-0.63,-0.65,0,0,-0.7
T15.1.1,0,0,0.7,-1,-1,0.98,1,0,-0.98,-0.79,-0.65,1,-1,1,1,1,0.72,0.98,0.9,1,1,0,0,0,0,0,1,-0.82,-0.82,-1,0,0,-0.91,0,-0.99,0,-1,1,0.89,0.76,-0.49,-1,-0.97,0.74,0.91,0,0,0,-0.92,-0.96,0.99,-0.7,-0.77,0.77,-0.98,0.89,-0.9,-0.96,1,0,0,-0.92,0.71,1,-0.92,-0.96,0,1,1,-0.75,0.89,-0.98,0,-0.96,0,-0.91,-1,-0.67,0,0,0
T15.1.2,0,0,-0.74,0.93,0.93,-0.94,-0.89,0,0.79,0.8,0.62,-0.94,0.93,-0.93,-0.93,-0.93,-0.66,-0.7,0,-0.89,-0.89,0.89,0,0,0,0.89,-0.89,0.85,0.83,0,0,0,0.82,0,0.91,0.72,0.93,-0.93,-0.85,-0.84,0,0.93,0.86,-0.65,-0.94,0,0,0,0.89,0.82,-0.93,0.6,0.77,-0.72,0.76,0,0,0.89,-0.89,0,0,0.89,-0.61,-0.92,1,0.87,0.53,0,0,0,0,0.93,0.76,0.88,0,0.82,0.93,0.71,0,0,0
T15.4.1,0,0,-0.77,0.93,0.93,-0.94,-1,0,0,0.75,0.68,0,1,-0.94,-0.94,-0.95,-0.67,-0.95,-0.74,-0.9,-0.9,0,0,0,0,0,-0.9,0.82,0.88,0.9,0,0,0.91,0,0.94,0,0.93,-0.93,-0.86,-0.79,0.58,0.58,0.93,-0.76,-0.87,0,0,0,0.84,0.91,-0.93,0.72,0.78,-0.73,0.81,-0.89,0,0.95,0,0,0,0.84,-0.7,-0.96,0.87,1,0.52,-1,0,0.75,-0.89,0.91,0.71,0,0,0.85,0.93,0.73,0,0,0
